Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.1199999999,0,-46154.5859375000,-63823.7070312500,-38059.0742187500,-15251.4882812500,-28929.5039062500,-53379.4960937500,-37575.6718750000,-66559.6718750000,,,
0.1239999998,0,-45352.6718750000,-63022.4609375000,-37260.6250000000,-14465.2441406250,-28125.4667968750,-52584.4648437500,-36780.4882812500,-65756.8593750000,,,
0.1279999998,1,-45569.3281250000,-63243.0312500000,-37480.3867187500,-14677.6523437500,-28349.9238281250,-52804.6992187500,-36998.8203125000,-65979.8203125000,,,
0.1319999998,1,-45661.1914062500,-63332.1250000000,-37568.6992187500,-14765.4277343750,-28439.5546875000,-52894.5742187500,-37087.1523437500,-66069.4296875000,,,
0.1359999997,1,-45739.1757812500,-63400.9218750000,-37637.2968750000,-14833.4892578125,-28508.8437500000,-52963.1054687500,-37155.4609375000,-66138.8750000000,,,
0.1399999997,1,-45712.1757812500,-63375.5742187500,-37613.0898437500,-14812.2099609375,-28485.0390625000,-52940.3046875000,-37131.4765625000,-66115.7656250000,,,
0.1439999996,1,-45708.5117187500,-63380.0664062500,-37618.5429687500,-14817.6865234375,-28490.7832031250,-52945.4257812500,-37136.5742187500,-66121.0390625000,,,
0.1479999996,1,-45701.6718750000,-63369.7851562500,-37607.7929687500,-14807.6279296875,-28479.6308593750,-52932.9296875000,-37125.8203125000,-66109.7109375000,,,
0.1519999998,1,-45698.2070312500,-63358.6992187500,-37595.0507812500,-14795.9824218750,-28465.4824218750,-52919.5195312500,-37112.7460937500,-66095.7578125000,,,
0.1559999997,1,-45706.1875000000,-63371.0390625000,-37608.4179687500,-14807.7841796875,-28478.6250000000,-52932.7734375000,-37125.9570312500,-66108.2343750000,,,
0.1599999997,1,-45715.7070312500,-63392.4296875000,-37630.0781250000,-14829.0634765625,-28501.7363281250,-52954.9453125000,-37147.8398437500,-66131.9687500000,,,
0.1639999996,1,-45769.1054687500,-63445.0664062500,-37681.7773437500,-14881.0312500000,-28554.9335937500,-53006.3984375000,-37199.0898437500,-66184.9843750000,,,
0.1679999996,1,-45721.1171875000,-63387.1992187500,-37623.4375000000,-14825.1064453125,-28496.8183593750,-52949.6953125000,-37140.7968750000,-66127.0078125000,,,
0.1719999998,1,-45702.8125000000,-63371.8203125000,-37609.5585937500,-14810.7568359375,-28482.9609375000,-52936.7070312500,-37126.8515625000,-66112.3671875000,,,
0.1759999997,1,-45701.5820312500,-63379.9570312500,-37619.6835937500,-14821.5976562500,-28492.2597656250,-52946.0742187500,-37137.3789062500,-66121.6875000000,,,
0.1799999997,1,-45802.2109375000,-63482.4375000000,-37721.8515625000,-14921.6445312500,-28594.3398437500,-53046.4101562500,-37238.4296875000,-66223.0546875000,,,
0.1839999997,1,-45862.5820312500,-63542.6992187500,-37779.4531250000,-14981.4570312500,-28650.2636718750,-53103.2070312500,-37296.1875000000,-66279.3359375000,,,
0.1879999996,1,-45590.4921875000,-63265.2695312500,-37502.6289062500,-14708.1406250000,-28372.3867187500,-52826.9375000000,-37020.0976562500,-66001.5000000000,,,
0.1919999996,1,-45660.2304687500,-63343.5468750000,-37582.0859375000,-14786.2148437500,-28453.5234375000,-52905.5507812500,-37099.3554687500,-66082.6640625000,,,
0.1959999998,1,-45677.3085937500,-63367.9531250000,-37607.0312500000,-14812.4335937500,-28477.2167968750,-52929.2421875000,-37124.3671875000,-66106.3515625000,,,
0.1999999997,1,-45678.8945312500,-63357.6953125000,-37596.1484375000,-14803.0458984375,-28465.4589843750,-52918.4023437500,-37113.2617187500,-66094.2656250000,,,
0.2039999997,1,-45677.1054687500,-63346.0937500000,-37583.1367187500,-14792.0488281250,-28453.9707031250,-52907.3828125000,-37100.4960937500,-66083.1328125000,,,
0.2079999996,1,-45686.0468750000,-63360.0859375000,-37598.9648437500,-14807.1806640625,-28471.0253906250,-52923.7890625000,-37116.2773437500,-66100.2734375000,,,
0.2119999996,1,-45697.4257812500,-63375.3750000000,-37614.6757812500,-14822.8945312500,-28486.6718750000,-52939.2539062500,-37132.1679687500,-66115.8750000000,,,
0.2159999998,1,-45753.0117187500,-63424.0117187500,-37662.1757812500,-14869.2519531250,-28533.0957031250,-52984.3398437500,-37179.6445312500,-66162.4765625000,,,
0.2199999997,1,-45710.7226562500,-63378.3671875000,-37616.2421875000,-14823.8105468750,-28486.6035156250,-52937.8476562500,-37133.8671875000,-66115.8281250000,,,
0.2239999997,1,-45699.2578125000,-63374.6601562500,-37613.6914062500,-14820.1005859375,-28484.3906250000,-52934.4492187500,-37130.9843750000,-66113.4609375000,,,
0.2279999997,1,-45688.9531250000,-63376.7148437500,-37616.3320312500,-14822.9833984375,-28487.0292968750,-52935.7226562500,-37133.3750000000,-66115.8750000000,,,
0.2319999996,1,-45678.8515625000,-63364.4882812500,-37602.0937500000,-14810.1083984375,-28472.9707031250,-52923.2304687500,-37118.6250000000,-66101.8359375000,,,
0.2359999996,1,-45677.9335937500,-63355.0546875000,-37590.5156250000,-14800.0957031250,-28462.5312500000,-52913.8203125000,-37107.3125000000,-66091.3125000000,,,
0.2399999998,1,-45686.7187500000,-63365.6718750000,-37602.7187500000,-14812.4335937500,-28476.4785156250,-52926.9843750000,-37119.8554687500,-66105.1484375000,,,
0.2439999997,1,-45951.8554687500,-63641.5156250000,-37879.0312500000,-15083.1357421875,-28756.1894531250,-53201.8437500000,-37394.7148437500,-66383.7812500000,,,
0.2479999997,1,-45773.9140625000,-63462.9492187500,-37700.4843750000,-14915.4531250000,-28572.6132812500,-53024.3046875000,-37218.7382812500,-66203.0000000000,,,
0.2519999996,1,-45527.2148437500,-63202.6171875000,-37438.9921875000,-14654.4511718750,-28310.6953125000,-52765.1367187500,-36956.8437500000,-65940.3515625000,,,
0.2559999996,2,-45635.6679687500,-63312.9218750000,-37550.2382812500,-14761.9628906250,-28422.8574218750,-52875.7109375000,-37067.7070312500,-66052.1953125000,,,
0.2599999995,2,-45661.8632812500,-63347.7265625000,-37586.7812500000,-14799.3798828125,-28460.7207031250,-52912.8125000000,-37104.9453125000,-66089.8125000000,,,
