Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.1999999997,1,-7424.3999023438,-7554.5766601563,-7711.9775390625,-7494.3383789063,-75397.2812500000,-115389.4218750000,-127541.3046875000,-141270.7031250000,,,
0.2039999997,1,-7424.2880859375,-7554.5986328125,-7711.8432617188,-7494.2714843750,-75397.2109375000,-115389.6015625000,-127541.3281250000,-141270.7031250000,,,
0.2079999996,1,-7420.8681640625,-7551.0893554688,-7708.1328125000,-7490.5161132813,-75393.4843750000,-115385.7812500000,-127537.4609375000,-141266.8906250000,,,
0.2119999996,1,-7418.8344726563,-7549.0556640625,-7706.2329101563,-7488.5048828125,-75391.4062500000,-115383.6328125000,-127535.3828125000,-141264.7187500000,,,
0.2159999998,1,-7420.9130859375,-7551.1342773438,-7708.4682617188,-7490.8291015625,-75393.7031250000,-115385.8906250000,-127537.6875000000,-141267.0625000000,,,
0.2199999997,1,-7420.8237304688,-7551.1342773438,-7708.4682617188,-7490.8515625000,-75393.7265625000,-115385.9843750000,-127537.6875000000,-141267.1250000000,,,
0.2239999997,1,-7423.5283203125,-7553.7719726563,-7710.9042968750,-7493.2880859375,-75396.1406250000,-115388.4843750000,-127540.1640625000,-141269.5937500000,,,
0.2279999997,1,-7423.9306640625,-7554.1518554688,-7711.2397460938,-7493.6679687500,-75396.4765625000,-115388.7343750000,-127540.3906250000,-141269.8125000000,,,
0.2319999996,1,-7422.4775390625,-7552.7436523438,-7710.1445312500,-7492.4160156250,-75395.3125000000,-115387.4375000000,-127539.1640625000,-141268.7031250000,,,
0.2359999996,1,-7422.5000000000,-7552.8999023438,-7710.3232421875,-7492.6845703125,-75395.4921875000,-115387.6796875000,-127539.4296875000,-141268.9687500000,,,
0.2399999998,1,-7422.9467773438,-7553.1684570313,-7710.4575195313,-7492.9750976563,-75395.6718750000,-115387.8828125000,-127539.5625000000,-141268.9843750000,,,
0.2439999997,1,-7423.2597656250,-7553.3471679688,-7710.6811523438,-7493.0869140625,-75395.8515625000,-115388.0625000000,-127539.6953125000,-141268.9843750000,,,
0.2479999997,1,-7421.0693359375,-7551.1791992188,-7708.6918945313,-7490.9858398438,-75393.8203125000,-115385.9609375000,-127537.6406250000,-141266.9687500000,,,
0.2519999996,1,-7421.2705078125,-7551.5590820313,-7709.0942382813,-7491.4106445313,-75394.2421875000,-115386.3828125000,-127538.0625000000,-141267.5781250000,,,
0.2559999996,2,-7421.8515625000,-7551.9614257813,-7709.4291992188,-7491.7905273438,-75394.4687500000,-115386.7421875000,-127538.3593750000,-141267.7968750000,,,
0.2599999995,2,-7422.0307617188,-7551.9389648438,-7709.3847656250,-7491.7231445313,-75394.4218750000,-115386.7187500000,-127538.1328125000,-141267.6093750000,,,
