Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.0639999998,0,-44368.6796875000,-64175.9921875000,-37716.2187500000,-15074.6640625000,-27709.6132812500,-53020.2812500000,-37205.9531250000,-65062.0585937500,,,
0.0680000000,0,-44479.5468750000,-64281.5585937500,-37820.0000000000,-15177.5712890625,-27813.1679687500,-53122.6953125000,-37309.3281250000,-65165.4570312500,,,
0.0719999999,0,-44361.4375000000,-64163.8085937500,-37705.0234375000,-15065.9023437500,-27692.9824218750,-53003.9843750000,-37195.1796875000,-65045.8554687500,,,
0.0759999999,0,-44408.7109375000,-64224.4257812500,-37764.9257812500,-15122.4296875000,-27754.6523437500,-53063.3984375000,-37254.9687500000,-65106.6718750000,,,
0.0799999998,0,-44639.5390625000,-64456.7500000000,-37995.4843750000,-15347.0419921875,-27989.5468750000,-53294.0898437500,-37483.9179687500,-65339.8671875000,,,
0.0839999998,0,-44748.0117187500,-64559.8359375000,-38099.0820312500,-15456.5439453125,-28090.8671875000,-53397.8671875000,-37589.0820312500,-65443.4453125000,,,
0.0880000000,0,-44108.1484375000,-63913.9609375000,-37455.0625000000,-14818.9824218750,-27443.3808593750,-52757.5351562500,-36946.6718750000,-64796.9687500000,,,
0.0919999999,0,-44310.4531250000,-64124.7851562500,-37665.8398437500,-15021.7128906250,-27658.2031250000,-52968.1328125000,-37156.1757812500,-65011.0507812500,,,
0.0959999999,0,-44464.4804687500,-64281.7578125000,-37822.4140625000,-15175.6044921875,-27814.3535156250,-53122.9882812500,-37312.4140625000,-65166.5546875000,,,
0.0999999999,0,-44347.7578125000,-64155.2929687500,-37695.5664062500,-15052.1562500000,-27685.7851562500,-52996.3632812500,-37186.3515625000,-65037.7851562500,,,
0.1039999998,0,-44384.1718750000,-64188.3750000000,-37729.2500000000,-15084.4541015625,-27721.0566406250,-53030.5390625000,-37219.7656250000,-65073.2109375000,,,
0.1079999998,0,-44407.7968750000,-64221.2773437500,-37764.9257812500,-15119.4345703125,-27755.3671875000,-53064.0000000000,-37255.1953125000,-65108.1015625000,,,
0.1120000000,0,-44407.1250000000,-64224.2500000000,-37767.4726562500,-15123.0781250000,-27757.1992187500,-53066.1445312500,-37257.6054687500,-65109.5781250000,,,
0.1159999999,0,-44607.3515625000,-64417.5468750000,-37957.1289062500,-15307.4580078125,-27951.1679687500,-53258.4179687500,-37445.6523437500,-65302.3867187500,,,
0.1199999999,0,-45490.2695312500,-65305.4023437500,-38844.0234375000,-16182.6845703125,-28845.5292968750,-54140.9062500000,-38329.9335937500,-66195.1171875000,,,
0.1239999998,0,-44467.2500000000,-64290.3632812500,-37834.4843750000,-15199.6552734375,-27822.1542968750,-53136.2421875000,-37327.0976562500,-65177.6835937500,,,
0.1279999998,1,-43745.3125000000,-63566.0351562500,-37110.5312500000,-14477.9843750000,-27096.6621093750,-52413.5859375000,-36603.0351562500,-64450.9414062500,,,
0.1319999998,1,-44135.2148437500,-63950.7539062500,-37492.3671875000,-14849.2021484375,-27482.8984375000,-52792.2265625000,-36982.9062500000,-64834.9648437500,,,
