Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.2439999997,1,-167073.4687500000,-35302.0312500000,-129234.5625000000,-156461.9218750000,-159735.9531250000,-182140.6093750000,-187500.0156250000,-187500.0156250000,,,
0.2479999997,1,-167071.3906250000,-35300.8242187500,-129231.9218750000,-156459.4375000000,-159734.8593750000,-182140.1406250000,-187500.0156250000,-187500.0156250000,,,
0.2519999996,1,-167069.4218750000,-35299.7968750000,-129229.5312500000,-156457.1562500000,-159734.0468750000,-182139.8593750000,-187500.0156250000,-187500.0156250000,,,
0.2559999996,2,-167066.0781250000,-35297.4921875000,-129225.8671875000,-156453.8437500000,-159732.1250000000,-182138.3437500000,-187500.0156250000,-187500.0156250000,,,
0.2599999995,2,-167062.0468750000,-35294.4296875000,-129221.4687500000,-156449.5937500000,-159729.4062500000,-182136.1718750000,-187500.0156250000,-187500.0156250000,,,
0.2639999995,2,-167060.0000000000,-35293.2695312500,-129218.8046875000,-156447.1406250000,-159728.4218750000,-182135.8906250000,-187500.0156250000,-187500.0156250000,,,
0.2679999995,2,-167060.6250000000,-35294.9453125000,-129219.0312500000,-156447.5937500000,-159730.2031250000,-182138.1875000000,-187500.0156250000,-187500.0156250000,,,
0.2719999994,2,-167057.0000000000,-35292.3085937500,-129215.2031250000,-156443.9375000000,-159727.9687500000,-182136.4062500000,-187500.0156250000,-187500.0156250000,,,
0.2759999994,2,-167052.3906250000,-35288.7304687500,-129210.3125000000,-156439.2968750000,-159724.5937500000,-182133.7187500000,-187500.0156250000,-187500.0156250000,,,
0.2799999996,2,-167051.6093750000,-35288.8437500000,-129209.0859375000,-156438.2656250000,-159724.9375000000,-182134.6406250000,-187500.0156250000,-187500.0156250000,,,
0.2839999995,2,-167051.9218750000,-35290.0742187500,-129208.9218750000,-156438.2500000000,-159726.3906250000,-182136.5781250000,-187500.0156250000,-187500.0156250000,,,
0.2879999995,2,-167048.6406250000,-35287.7929687500,-129205.2812500000,-156434.6875000000,-159724.4375000000,-182135.0625000000,-187500.0156250000,-187500.0156250000,,,
0.2919999994,2,-167044.2812500000,-35284.5078125000,-129200.6562500000,-156430.2656250000,-159721.3281250000,-182132.5625000000,-187500.0156250000,-187500.0156250000,,,
0.2959999994,2,-167043.7500000000,-35284.8437500000,-129199.6484375000,-156429.5312500000,-159721.9218750000,-182133.7343750000,-187500.0156250000,-187500.0156250000,,,
0.2999999996,2,-167043.0937500000,-35285.1562500000,-129198.5078125000,-156428.5000000000,-159722.2812500000,-182134.7187500000,-187500.0156250000,-187500.0156250000,,,
0.3039999995,2,-167038.7812500000,-35281.9140625000,-129193.9687500000,-156424.0312500000,-159719.3281250000,-182132.3125000000,-187500.0156250000,-187500.0156250000,,,
0.3079999995,2,-167034.2968750000,-35278.5156250000,-129189.2109375000,-156419.5781250000,-159716.2656250000,-182129.8593750000,-187500.0156250000,-187500.0156250000,,,
0.3119999995,2,-167034.3125000000,-35279.5234375000,-129188.8750000000,-156419.4218750000,-159717.5156250000,-182131.6875000000,-187500.0156250000,-187500.0156250000,,,
0.3159999994,2,-167034.1718750000,-35280.2382812500,-129188.0937500000,-156418.7968750000,-159718.3125000000,-182133.0468750000,-187500.0156250000,-187500.0156250000,,,
0.3199999994,2,-167029.0625000000,-35276.0117187500,-129182.6640625000,-156413.5312500000,-159714.3906250000,-182129.7656250000,-187500.0156250000,-187500.0156250000,,,
0.3239999996,2,-167025.5000000000,-35273.5976562500,-129178.9296875000,-156409.8750000000,-159712.2812500000,-182128.2187500000,-187500.0156250000,-187500.0156250000,,,
0.3279999995,2,-167025.0156250000,-35274.2031250000,-129178.0781250000,-156409.3281250000,-159713.0156250000,-182129.7031250000,-187500.0156250000,-187500.0156250000,,,
0.3319999995,2,-167025.3281250000,-35275.3867187500,-129177.8125000000,-156409.2500000000,-159714.4531250000,-182131.5312500000,-187500.0156250000,-187500.0156250000,,,
0.3359999994,2,-167023.7187500000,-35274.6718750000,-129175.7343750000,-156407.4218750000,-159713.9531250000,-182131.5937500000,-187500.0156250000,-187500.0156250000,,,
0.3399999994,2,-167018.2343750000,-35270.1796875000,-129169.9921875000,-156401.9218750000,-159709.8437500000,-182128.0468750000,-187500.0156250000,-187500.0156250000,,,
0.3439999996,2,-167014.3906250000,-35267.3632812500,-129165.8125000000,-156397.9062500000,-159707.1718750000,-182125.9687500000,-187500.0156250000,-187500.0156250000,,,
0.3479999995,2,-167014.0156250000,-35267.9453125000,-129165.0468750000,-156397.2968750000,-159707.9218750000,-182127.2812500000,-187500.0156250000,-187500.0156250000,,,
0.3519999995,2,-167015.2968750000,-35270.0468750000,-129165.7421875000,-156398.1875000000,-159710.2500000000,-182130.1718750000,-187500.0156250000,-187500.0156250000,,,
0.3559999994,2,-167012.3125000000,-35268.1015625000,-129162.4531250000,-156395.0781250000,-159708.6562500000,-182129.0937500000,-187500.0156250000,-187500.0156250000,,,
0.3599999994,2,-167008.1875000000,-35265.1289062500,-129158.0546875000,-156390.9062500000,-159705.8750000000,-182126.7968750000,-187500.0156250000,-187500.0156250000,,,
0.3639999994,2,-167008.5000000000,-35266.2890625000,-129157.9218750000,-156390.9218750000,-159707.2500000000,-182128.8437500000,-187500.0156250000,-187500.0156250000,,,
0.3679999996,2,-167005.1406250000,-35263.7656250000,-129154.0546875000,-156387.2187500000,-159705.0000000000,-182127.1875000000,-187500.0156250000,-187500.0156250000,,,
0.3719999995,2,-167001.2031250000,-35260.9023437500,-129149.8984375000,-156383.1718750000,-159702.3750000000,-182125.1875000000,-187500.0156250000,-187500.0156250000,,,
0.3759999995,2,-167002.1875000000,-35262.9140625000,-129150.7421875000,-156384.0468750000,-159704.7031250000,-182127.9062500000,-187500.0156250000,-187500.0156250000,,,
0.3799999994,2,-166998.2968750000,-35260.0078125000,-129146.2734375000,-156379.8906250000,-159701.8906250000,-182125.8125000000,-187500.0156250000,-187500.0156250000,,,
0.3839999994,3,-166995.8281250000,-35258.4687500000,-129143.3203125000,-156377.1406250000,-159700.6093750000,-182125.0468750000,-187500.0156250000,-187500.0156250000,,,
0.3879999993,3,-166992.3593750000,-35255.9882812500,-129139.4765625000,-156373.6718750000,-159698.4218750000,-182123.3750000000,-187500.0156250000,-187500.0156250000,,,
0.3919999993,3,-166988.7968750000,-35253.4609375000,-129135.6562500000,-156369.9843750000,-159696.1406250000,-182121.6875000000,-187500.0156250000,-187500.0156250000,,,
0.3959999993,3,-166986.6093750000,-35252.3203125000,-129133.0625000000,-156367.5312500000,-159695.2031250000,-182121.2656250000,-187500.0156250000,-187500.0156250000,,,
0.3999999992,3,-166984.9843750000,-35251.6054687500,-129131.0078125000,-156365.6406250000,-159694.6718750000,-182121.2968750000,-187500.0156250000,-187500.0156250000,,,
0.4039999992,3,-166979.5312500000,-35247.0468750000,-129125.1484375000,-156359.9687500000,-159690.3750000000,-182117.5156250000,-187500.0156250000,-187500.0156250000,,,
0.4079999994,3,-166976.3750000000,-35244.9453125000,-129121.7343750000,-156356.8437500000,-159688.6093750000,-182116.3750000000,-187500.0156250000,-187500.0156250000,,,
0.4119999993,3,-166973.8750000000,-35243.4921875000,-129118.8906250000,-156354.1562500000,-159687.4531250000,-182115.7187500000,-187500.0156250000,-187500.0156250000,,,
