Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.0000000000,0,-187500.0156250000,-63360.7578125000,-160056.1875000000,-180956.1875000000,-175194.4687500000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0040000000,0,-187500.0156250000,-63360.8671875000,-160057.1875000000,-180958.0468750000,-175195.9687500000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0079999999,0,-187500.0156250000,-63356.7539062500,-160053.9687500000,-180955.6562500000,-175193.2343750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0119999999,0,-187500.0156250000,-63352.2187500000,-160050.3125000000,-180952.6093750000,-175189.8437500000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0159999998,0,-187500.0156250000,-63349.2890625000,-160048.3125000000,-180951.3125000000,-175188.1875000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0199999998,0,-187500.0156250000,-63346.3398437500,-160046.2656250000,-180950.0000000000,-175186.6875000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0240000000,0,-187500.0156250000,-63341.9804687500,-160042.9062500000,-180947.2500000000,-175183.6875000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0279999999,0,-187500.0156250000,-63338.3164062500,-160040.1875000000,-180945.2343750000,-175181.2031250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0319999999,0,-187500.0156250000,-63335.7890625000,-160038.5781250000,-180944.3125000000,-175180.0312500000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0359999998,0,-187500.0156250000,-63333.2421875000,-160036.8750000000,-180943.3750000000,-175178.7656250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0399999998,0,-187500.0156250000,-63327.9648437500,-160032.6718750000,-180939.8437500000,-175174.8906250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0440000000,0,-187500.0156250000,-63323.9218750000,-160029.5000000000,-180937.3593750000,-175172.1093750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0480000000,0,-187500.0156250000,-63321.7304687500,-160028.0937500000,-180936.7343750000,-175171.1093750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0519999999,0,-187500.0156250000,-63320.1445312500,-160027.4218750000,-180936.8281250000,-175170.8906250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
